user_id,problem,,,,,,,
30000,0.892845757,,,,,,'8.5.3',
30001,0.203350672,,,,,,'10.22.1780',
30002,0.28165829,,,,,,'10.22.1770',10인거만 치우자
30003,0.739533156,,,'8.5.3',,,'10',
30004,0.62668854,,,'10',,,'05.66.3571',
30005,0.374852061,,,'05.66.3571',,,'05.66.3237',
30006,0.092761172,,,'05.66.3237',,,'05.15.3104',
30007,0.071292057,,,'05.15.3104',,,'05.15.2138',
30008,0.698007942,,,'05.15.2138',,,'05.15.2120',
30009,0.236575932,,,'05.15.2122',,,'05.15.2114',
30010,0.161126347,,,'05.15.2120',,,'05.15.2092',
30011,0.14084237,,,'05.15.2114',,,'04.82.1778',
30012,0.920809302,,,'05.15.2092',,,'04.82.1730',
30013,0.078092942,,,'05.15.2090',,,'04.82.1684',
30014,0.159983949,,,'04.82.1778',,,'04.73.2577',
30015,0.316740173,,,'04.82.1730',,,'04.73.2571',
30016,0.210383645,,,'04.82.1684',,,'04.73.2569',
30017,0.33299488,,,'04.73.2571',,,'04.73.2237',
30018,0.377152526,,,'04.73.2237',,,'04.33.1261',
30019,0.367635794,,,04.33.1261',,,'04.33.1185',
30020,0.841952045,,,'04.33.1185',,,'04.33.1171',
30021,0.490292855,,,'04.33.1171',,,'04.33.1149',
30022,0.17081916,,,'04.33.1149',,,'04.33.1125',
30023,0.132835246,,,'04.33.1125',,,'04.22.1778',
30024,0.518272796,,,'04.33.1095',,,'04.22.1772',
30025,0.316673938,,,'04.22.1778',,,'04.22.1750',
30026,0.370036478,,,'04.22.1750',,,'04.22.1684',
30027,0.147100318,,,'04.22.1684',,,'04.22.1666',
30028,0.194233274,,,'04.22.1666',4221560,,'04.22.1656',
30029,0.100007988,,,'04.22.1656',4221500,,'04.22.1608',
30030,0.163949494,,,'04.22.1442',,,'04.22.1478',
30031,0.347745039,,,'04.16.3571',4163590,,'04.22.1448',
30032,0.163092352,,,'04.16.3569',4163540,,'04.22.1170',
30033,0.218704049,,,'04.16.3553',4163500,,'04.16.3571',
30034,0.391244224,,,'04.16.3439',,,'04.16.3569',
30035,0.28691119,,,'04.16.3345',,,'04.16.3553',
30036,0.143844486,,,'04.16.2641',,,'04.16.3439',
30037,0.327815023,,,'03.11.1167',3111196,,'03.11.1167',
30038,0.194115178,,,'03.11.1149',3111149,,'03.11.1149',
30039,0.083002527,,,'03.11.1141',3111100,,'03.11.1141',
30040,0.425101707,,,,,,,
30041,0.149571022,,,,,,,
30042,0.118577803,,,,,,,
30043,0.093380869,,,,,,,
30044,0.174850982,,,,,,,
30045,0.289553039,,,,,,,
30046,0.403207856,,,,,,,
30047,0.116686989,,,,,,,
30048,0.248959547,,,,,,,
30049,0.1519895,,,,,,,
30050,0.216685564,,,,,,,
